Index,Date,GAME_ID,Visiting,Home,Period,Time,Challenging Team,Challenge Type,Additional Challenge Type,Successful/Unsuccessful,Link,Challenging Coach,Challenging Coach Years Experience,Challenging Coach Current Year Win Percentage,Challenging Coach Career Win Percentage,Official #1,Official #2,Official #3,Replay Center Officials,L2M Reviewed,L2M Reviewed Challenge,L2M Reviewed/Challenge Call Match,L2M Reviewed Decision,L2M Reviewed Comment,Visiting Score,Home Score,Committing Player,Disadvantaged Player,Committing Team,Disadvantaged Team,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
150,20191028,21900044,ORL,TOR,3,1:20,TOR,Foul,Offensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_ORL_TOR_Toronto_Offensive_Foul_102819,Nick Nurse,2,0.719,0.712,Sean Corbin,Derrick Collins,Nate Green,,No,,,,,nan,nan,Kyle Lowry,Fred VanVleet,TOR,TOR,489,8,0,3,9:17 PM,1:20,SUB: VanVleet FOR Lowry,,,nan,,4,200768,Kyle Lowry,1610612761,Toronto,Raptors,TOR,4,1627832,Fred VanVleet,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0
151,20191028,21900044,ORL,TOR,3,1:20,TOR,Foul,Offensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_ORL_TOR_Toronto_Offensive_Foul_102819,Nick Nurse,2,0.719,0.712,Sean Corbin,Derrick Collins,Nate Green,,No,,,,,nan,nan,Patrick McCaw,OG Anunoby,TOR,TOR,490,8,0,3,9:17 PM,1:20,SUB: Anunoby FOR McCaw,,,nan,,4,1627775,Patrick McCaw,1610612761,Toronto,Raptors,TOR,4,1628384,OG Anunoby,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0
152,20191028,21900044,ORL,TOR,3,1:20,TOR,Foul,Offensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_ORL_TOR_Toronto_Offensive_Foul_102819,Nick Nurse,2,0.719,0.712,Sean Corbin,Derrick Collins,Nate Green,,No,,,,,nan,nan,nan,nan,nan,nan,493,9,1,3,9:17 PM,1:20,RAPTORS Timeout: Regular (Full 4 Short 0),,,nan,,2,1610612761,nan,,,,nan,0,0,nan,,,,nan,0,0,,,,,,0
153,20191028,21900044,ORL,TOR,3,1:20,TOR,Foul,Offensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_ORL_TOR_Toronto_Offensive_Foul_102819,Nick Nurse,2,0.719,0.712,Sean Corbin,Derrick Collins,Nate Green,,No,,,,,64,72,nan,nan,nan,nan,494,18,4,3,9:18 PM,1:20,,,,64 - 72,8,0,486,nan,,,,nan,0,0,nan,,,,nan,1,0,,,,,,0
154,20191028,21900044,ORL,TOR,3,1:20,TOR,Foul,Offensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_ORL_TOR_Toronto_Offensive_Foul_102819,Nick Nurse,2,0.719,0.712,Sean Corbin,Derrick Collins,Nate Green,,No,,,,,nan,nan,Pascal Siakam,Patrick McCaw,TOR,TOR,495,8,0,3,9:20 PM,1:20,SUB: McCaw FOR Siakam,,,nan,,4,1627783,Pascal Siakam,1610612761,Toronto,Raptors,TOR,4,1627775,Patrick McCaw,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0
155,20191028,21900045,OKC,HOU,2,4:07,HOU,Foul,Defensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_OKC_HOU_Houston_Defensive_Foul_Challenge_102819,Mike D'Antoni,16,0.625,0.561,Sean Wright,Brian Forte,Natalie Sago,,No,,,,,nan,nan,P.J. Tucker,Dennis Schroder,HOU,OKC,298,6,2,2,8:58 PM,4:07,Tucker S.FOUL (P3.T4) (S.Wright),,,nan,,4,200782,P.J. Tucker,1610612745,Houston,Rockets,HOU,5,203471,Dennis Schroder,1610612760,Oklahoma City,Thunder,OKC,1,0,,,,,,1
156,20191028,21900045,OKC,HOU,2,4:07,HOU,Foul,Defensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_OKC_HOU_Houston_Defensive_Foul_Challenge_102819,Mike D'Antoni,16,0.625,0.561,Sean Wright,Brian Forte,Natalie Sago,,No,,,,,nan,nan,nan,nan,nan,nan,300,9,1,2,8:59 PM,4:07,ROCKETS Timeout: Regular (Full 3 Short 0),,,nan,,2,1610612745,nan,,,,nan,0,0,nan,,,,nan,0,0,,,,,,0
157,20191028,21900045,OKC,HOU,2,4:07,HOU,Foul,Defensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_OKC_HOU_Houston_Defensive_Foul_Challenge_102819,Mike D'Antoni,16,0.625,0.561,Sean Wright,Brian Forte,Natalie Sago,,No,,,,,49,42,nan,nan,nan,nan,301,18,4,2,8:59 PM,4:07,,,,49 - 42,-7,0,298,nan,,,,nan,0,0,nan,,,,nan,1,0,,,,,,0
158,20191028,21900045,OKC,HOU,2,4:07,HOU,Foul,Defensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_OKC_HOU_Houston_Defensive_Foul_Challenge_102819,Mike D'Antoni,16,0.625,0.561,Sean Wright,Brian Forte,Natalie Sago,,No,,,,,50,42,Dennis Schroder,nan,OKC,nan,302,3,11,2,9:02 PM,4:07,,,Schroder Free Throw 1 of 2 (11 PTS),50 - 42,-8,5,203471,Dennis Schroder,1610612760,Oklahoma City,Thunder,OKC,0,0,nan,,,,nan,0,0,,,,,,1
159,20191028,21900045,OKC,HOU,2,4:07,HOU,Foul,Defensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_OKC_HOU_Houston_Defensive_Foul_Challenge_102819,Mike D'Antoni,16,0.625,0.561,Sean Wright,Brian Forte,Natalie Sago,,No,,,,,nan,nan,P.J. Tucker,Eric Gordon,HOU,HOU,303,8,0,2,9:02 PM,4:07,SUB: Gordon FOR Tucker,,,nan,,4,200782,P.J. Tucker,1610612745,Houston,Rockets,HOU,4,201569,Eric Gordon,1610612745,Houston,Rockets,HOU,0,0,,,,,,0
160,20191028,21900045,OKC,HOU,2,4:07,HOU,Foul,Defensive Foul Challenge,Unsuccessful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_OKC_HOU_Houston_Defensive_Foul_Challenge_102819,Mike D'Antoni,16,0.625,0.561,Sean Wright,Brian Forte,Natalie Sago,,No,,,,,51,42,Dennis Schroder,nan,OKC,nan,305,3,12,2,9:03 PM,4:07,,,Schroder Free Throw 2 of 2 (12 PTS),51 - 42,-9,5,203471,Dennis Schroder,1610612760,Oklahoma City,Thunder,OKC,0,0,nan,,,,nan,0,0,,,,,,1
161,20191028,21900047,GSW,NOP,3,8:16,GSW,Foul,Defensive Foul Challenge,Successful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_GSW_NOP_Golden_State_Defensive_Foul_Challenge_102819,Steve Kerr,6,0.231,0.709,Pat Fraher,Gediminas Petraitis,Phenizee Ransom,,No,,,,,nan,nan,nan,nan,nan,nan,438,9,1,3,9:35 PM,8:16,,,Warriors Timeout: Regular (Reg.5 Short 0),nan,,3,1610612744,nan,,,,nan,0,0,nan,,,,nan,0,0,,,,,,0
162,20191028,21900047,GSW,NOP,3,8:16,GSW,Foul,Defensive Foul Challenge,Successful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_GSW_NOP_Golden_State_Defensive_Foul_Challenge_102819,Steve Kerr,6,0.231,0.709,Pat Fraher,Gediminas Petraitis,Phenizee Ransom,,No,,,,,80,62,Pervis Ellison,nan,nan,nan,445,18,5,3,9:36 PM,8:16,,,,80 - 62,-18,0,442,Pervis Ellison,,,,nan,0,0,nan,,,,nan,1,0,,,,,,0
163,20191028,21900047,GSW,NOP,3,8:16,GSW,Foul,Defensive Foul Challenge,Successful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_GSW_NOP_Golden_State_Defensive_Foul_Challenge_102819,Steve Kerr,6,0.231,0.709,Pat Fraher,Gediminas Petraitis,Phenizee Ransom,,No,,,,,nan,nan,Brandon Ingram,Stephen Curry,NOP,GSW,484,6,4,3,9:38 PM,8:16,Ingram OFF.Foul (P1) (P.Fraher),,,nan,,4,1627742,Brandon Ingram,1610612740,New Orleans,Pelicans,NOP,5,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,1,0,,,,,,1
164,20191028,21900047,GSW,NOP,3,8:16,GSW,Foul,Defensive Foul Challenge,Successful,http://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_GSW_NOP_Golden_State_Defensive_Foul_Challenge_102819,Steve Kerr,6,0.231,0.709,Pat Fraher,Gediminas Petraitis,Phenizee Ransom,,No,,,,,nan,nan,Brandon Ingram,nan,NOP,nan,485,5,37,3,9:38 PM,8:16,Ingram Offensive Foul Turnover (P1.T10),,,nan,,4,1627742,Brandon Ingram,1610612740,New Orleans,Pelicans,NOP,0,0,nan,,,,nan,1,0,,,,,,1
165,20191028,21900049,UTA,PHX,3,11:43,UTA,Foul,Defensive Foul Challenge,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_UTA_PHX_Utah_Defensive_Foul_Challenge_102819,Quin Snyder,6,0.641,0.565,Tony Brown,Ben Taylor,Mousa Dagher,,No,,,,,nan,nan,Mike Conley,Ricky Rubio,UTA,PHX,395,6,2,3,11:29 PM,11:43,,,Conley S.FOUL (P4.T1) (B.Taylor),nan,,5,201144,Mike Conley,1610612762,Utah,Jazz,UTA,4,201937,Ricky Rubio,1610612756,Phoenix,Suns,PHX,1,0,,,,,,1
166,20191028,21900049,UTA,PHX,3,11:43,UTA,Foul,Defensive Foul Challenge,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_UTA_PHX_Utah_Defensive_Foul_Challenge_102819,Quin Snyder,6,0.641,0.565,Tony Brown,Ben Taylor,Mousa Dagher,,No,,,,,nan,nan,nan,nan,nan,nan,397,9,1,3,11:30 PM,11:43,,,Jazz Timeout: Regular (Reg.3 Short 0),nan,,3,1610612762,nan,,,,nan,0,0,nan,,,,nan,0,0,,,,,,0
167,20191028,21900049,UTA,PHX,3,11:43,UTA,Foul,Defensive Foul Challenge,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_UTA_PHX_Utah_Defensive_Foul_Challenge_102819,Quin Snyder,6,0.641,0.565,Tony Brown,Ben Taylor,Mousa Dagher,,No,,,,,46,39,nan,nan,nan,nan,398,18,4,3,11:30 PM,11:43,,,,46 - 39,-7,0,395,nan,,,,nan,0,0,nan,,,,nan,1,0,,,,,,0
168,20191028,21900049,UTA,PHX,3,11:43,UTA,Foul,Defensive Foul Challenge,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_UTA_PHX_Utah_Defensive_Foul_Challenge_102819,Quin Snyder,6,0.641,0.565,Tony Brown,Ben Taylor,Mousa Dagher,,No,,,,,nan,nan,Ricky Rubio,nan,PHX,nan,399,3,11,3,11:33 PM,11:43,MISS Rubio Free Throw 1 of 2,,,nan,,4,201937,Ricky Rubio,1610612756,Phoenix,Suns,PHX,0,0,nan,,,,nan,0,0,,,,,,1
